institution,country,course_name,category,platform,source,lat,lng
Harvard University,US,CS50x Introduction to Computer Science,Software Engineering,University,https://kotlinlang.org/education/courses/,42.3576808,-71.1288621
University of Cambridge,UK,Kotlin: Essential Training,Kotlin,University,https://kotlinlang.org/education/courses/,52.205356,-0.1109793
Stanford University,US,CS194A: Android Programming Workshop,Android,University,https://kotlinlang.org/education/courses/,37.425571,-122.167447
Imperial College London,UK,40009 Computing Practical 1,Software Engineering,University,https://kotlinlang.org/education/courses/,51.605515,-0.337587
Yale University,US,CPSC 365: Algorithms,Software Engineering,University,https://kotlinlang.org/education/courses/,41.31787801861025,-72.92181217818667
University of Chicago,US,MPCS 51132. Full Stack Software Engineering,Software Engineering,University,https://kotlinlang.org/education/courses/,42.14880982,-87.58542941
University of Pennsylvania,US,CIS 1952 Android Programming,Android,University,https://kotlinlang.org/education/courses/,39.966627,-75.178587
Columbia University,US,ELEN 4901 MOBILE APP DEVELOPMENT ANDROID,Android,University,https://kotlinlang.org/education/courses/,40.8076897655188,-73.96257270377104
Johns Hopkins University,US,605.603 - Object-Oriented and Functional Programming in Kotlin,Kotlin,University,https://kotlinlang.org/education/courses/,39.297268,-76.594242
National University of Singapore,Singapore,CS2030S Programming Methodology II,Software Engineering,University,https://kotlinlang.org/education/courses/,1.29685712,103.7763832
Cornell University,US,CS 4120/4121/5120/5121 : Introduction to Compilers,Software Engineering,University,https://kotlinlang.org/education/courses/,42.45359958,-76.47345979
University of Toronto,Canada,ECE 1778: Creative Applications for Mobile Devices,Mobile Development,University,https://kotlinlang.org/education/courses/,43.663649958557436,-79.39584876128413
"University of California, Los Angeles",US,Computer Science 131. Programming Languages,Software Engineering,University,https://kotlinlang.org/education/courses/,33.770015,-117.980202
University of Michigan-Ann Arbor,US,EECS 441 Mobile App Development for Entrepreneurs,Mobile Development,University,https://kotlinlang.org/education/courses/,42.27884877,-83.73793244
Duke University,US,Complete Guide to Android Development with Kotlin for Beginners,Android,University,https://kotlinlang.org/education/courses/,36.00161672463381,-78.93820714634533
Northwestern University,US,Hello Kotlin: Android Bootcamp with App Factory,Android,University,https://kotlinlang.org/education/courses/,42.05665055495376,-87.67525627486819
University of Washington,US,INFO 448 Android Mobile Development,Android,University,https://kotlinlang.org/education/courses/,47.601109,-122.303272
Carnegie Mellon University,US,67-443 Mobile Application Design and Development,Mobile Development,University,https://kotlinlang.org/education/courses/,40.44336597,-79.94280699
University of Edinburgh,UK,Computer Science Large Practical,Software Engineering,University,https://kotlinlang.org/education/courses/,55.951814,-3.207641
Nanyang Technological University,Singapore,CANdroid® -Apps development for newbies,Android,University,https://kotlinlang.org/education/courses/,1.348502964206701,103.68313469508914
École Polytechnique Fédérale de Lausanne (EPFL),Switzerland,Lab on app development for tablets and smartphones,Software Engineering,University,https://kotlinlang.org/education/courses/,46.51922547,6.566768326
"University of California, San Diego",US,CSE-41336 Introduction to Mobile App Development,Mobile Development,University,https://kotlinlang.org/education/courses/,32.8800604,-117.2340135
University of Hong Kong,China,COMP4801 Final Year Project,Software Engineering,University,https://kotlinlang.org/education/courses/,22.283297559655196,114.13652990893307
Georgia Institute of Technology (Georgia Tech),US,Mastering Android Development,Android,University,https://kotlinlang.org/education/courses/,33.77580505179301,-84.3962742752847
King’s College London,UK,6CCS3CFL Compilers And Formal Languages,Software Engineering,University,https://kotlinlang.org/education/courses/,53.15052782,0.1692982392
University of Texas at Austin,US,CS 371M Mobile Computing (Android Programming),Android,University,https://kotlinlang.org/education/courses/,30.244396,-97.612412
Technical University of Munich,Germany,Bachelor's Practical course - Kotlin (IN0012),Kotlin,University,https://kotlinlang.org/education/courses/,48.137187,11.575691
University of Illinois at Urbana-Champaign,US,CS 124 An Introduction to Computer Science,Software Engineering,University,https://kotlinlang.org/education/courses/,40.039296,-88.277982
KU Leuven,Belgium,App Development,Software Engineering,University,https://kotlinlang.org/education/courses/,50.87825954,4.699737484
